"trta","saffl","aesoc","aedecod","procedure","factor","measure","unit","denominator"
"Placebo","Y","PSYCHIATRIC DISORDERS","ANXIETY","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","PSYCHIATRIC DISORDERS","COMPLETED SUICIDE","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","PSYCHIATRIC DISORDERS","CONFUSIONAL STATE","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","PSYCHIATRIC DISORDERS","DELUSION","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","PSYCHIATRIC DISORDERS","DISORIENTATION","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","PSYCHIATRIC DISORDERS","INSOMNIA","count","quantity",3,"_NULL_","_NULL_"
"Placebo","Y","PSYCHIATRIC DISORDERS","IRRITABILITY","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","RENAL AND URINARY DISORDERS","DYSURIA","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","RENAL AND URINARY DISORDERS","MICTURITION URGENCY","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","RENAL AND URINARY DISORDERS","NEPHROLITHIASIS","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","RENAL AND URINARY DISORDERS","POLLAKIURIA","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","REPRODUCTIVE SYSTEM AND BREAST DISORDERS","BENIGN PROSTATIC HYPERPLASIA","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","REPRODUCTIVE SYSTEM AND BREAST DISORDERS","PELVIC PAIN","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","COUGH","count","quantity",4,"_NULL_","_NULL_"
"Placebo","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","DYSPNOEA","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","EMPHYSEMA","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","HAEMOPTYSIS","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","NASAL CONGESTION","count","quantity",3,"_NULL_","_NULL_"
"Placebo","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","POSTNASAL DRIP","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","RALES","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","ALOPECIA","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","COLD SWEAT","count","quantity",3,"_NULL_","_NULL_"
"Placebo","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","DERMATITIS ATOPIC","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","DRUG ERUPTION","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","ERYTHEMA","count","quantity",13,"_NULL_","_NULL_"
"Placebo","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","HYPERHIDROSIS","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","PRURITUS","count","quantity",11,"_NULL_","_NULL_"
"Placebo","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","RASH","count","quantity",9,"_NULL_","_NULL_"
"Placebo","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","SKIN IRRITATION","count","quantity",4,"_NULL_","_NULL_"
"Placebo","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","SKIN ULCER","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","SURGICAL AND MEDICAL PROCEDURES","CATARACT OPERATION","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","SURGICAL AND MEDICAL PROCEDURES","EYE LASER SURGERY","count","quantity",1,"_NULL_","_NULL_"
"Placebo","Y","VASCULAR DISORDERS","HYPERTENSION","count","quantity",2,"_NULL_","_NULL_"
"Placebo","Y","VASCULAR DISORDERS","HYPOTENSION","count","quantity",3,"_NULL_","_NULL_"
"Placebo","Y","VASCULAR DISORDERS","ORTHOSTATIC HYPOTENSION","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","CARDIAC DISORDERS","ATRIAL FIBRILLATION","count","quantity",5,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","CARDIAC DISORDERS","ATRIAL FLUTTER","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","CARDIAC DISORDERS","ATRIOVENTRICULAR BLOCK SECOND DEGREE","count","quantity",4,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","CARDIAC DISORDERS","CARDIAC DISORDER","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","CARDIAC DISORDERS","MYOCARDIAL INFARCTION","count","quantity",8,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","CARDIAC DISORDERS","SINUS BRADYCARDIA","count","quantity",12,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","CARDIAC DISORDERS","SUPRAVENTRICULAR EXTRASYSTOLES","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","CARDIAC DISORDERS","VENTRICULAR EXTRASYSTOLES","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","CONGENITAL, FAMILIAL AND GENETIC DISORDERS","VENTRICULAR SEPTAL DEFECT","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","EAR AND LABYRINTH DISORDERS","VERTIGO","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","EYE DISORDERS","VISION BLURRED","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GASTROINTESTINAL DISORDERS","ABDOMINAL DISCOMFORT","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GASTROINTESTINAL DISORDERS","ABDOMINAL PAIN","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GASTROINTESTINAL DISORDERS","DIARRHOEA","count","quantity",4,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GASTROINTESTINAL DISORDERS","DYSPEPSIA","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GASTROINTESTINAL DISORDERS","GASTROINTESTINAL HAEMORRHAGE","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GASTROINTESTINAL DISORDERS","NAUSEA","count","quantity",13,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GASTROINTESTINAL DISORDERS","SALIVARY HYPERSECRETION","count","quantity",5,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GASTROINTESTINAL DISORDERS","STOMACH DISCOMFORT","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GASTROINTESTINAL DISORDERS","VOMITING","count","quantity",9,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE DERMATITIS","count","quantity",12,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE DISCHARGE","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE ERYTHEMA","count","quantity",23,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE IRRITATION","count","quantity",16,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE PAIN","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE PERSPIRATION","count","quantity",3,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE PRURITUS","count","quantity",35,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE REACTION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE SWELLING","count","quantity",3,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE URTICARIA","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE VESICLES","count","quantity",6,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","ASTHENIA","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","CHEST DISCOMFORT","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","CHEST PAIN","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","CHILLS","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","FATIGUE","count","quantity",5,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","FEELING ABNORMAL","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","FEELING COLD","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","MALAISE","count","quantity",3,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","OEDEMA PERIPHERAL","count","quantity",3,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","PAIN","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","PYREXIA","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","IMMUNE SYSTEM DISORDERS","SEASONAL ALLERGY","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INFECTIONS AND INFESTATIONS","CYSTITIS","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INFECTIONS AND INFESTATIONS","HORDEOLUM","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INFECTIONS AND INFESTATIONS","INFLUENZA","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INFECTIONS AND INFESTATIONS","LOWER RESPIRATORY TRACT INFECTION","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INFECTIONS AND INFESTATIONS","NASOPHARYNGITIS","count","quantity",8,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INFECTIONS AND INFESTATIONS","RHINITIS","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INFECTIONS AND INFESTATIONS","UPPER RESPIRATORY TRACT INFECTION","count","quantity",5,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INFECTIONS AND INFESTATIONS","URINARY TRACT INFECTION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","CONTUSION","count","quantity",3,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","EXCORIATION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","FACIAL BONES FRACTURE","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","FALL","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INJURY, POISONING AND PROCEDURAL COMPLICATIONS","HIP FRACTURE","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INVESTIGATIONS","BIOPSY","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INVESTIGATIONS","BIOPSY PROSTATE","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INVESTIGATIONS","BLOOD CHOLESTEROL INCREASED","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INVESTIGATIONS","BLOOD GLUCOSE INCREASED","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INVESTIGATIONS","ELECTROCARDIOGRAM T WAVE INVERSION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","INVESTIGATIONS","WEIGHT DECREASED","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","METABOLISM AND NUTRITION DISORDERS","DECREASED APPETITE","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","METABOLISM AND NUTRITION DISORDERS","HYPERCHOLESTEROLAEMIA","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","METABOLISM AND NUTRITION DISORDERS","INCREASED APPETITE","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","ARTHRALGIA","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","ARTHRITIS","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","BACK PAIN","count","quantity",4,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","FLANK PAIN","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","MUSCLE SPASMS","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","MUSCULOSKELETAL AND CONNECTIVE TISSUE DISORDERS","MYALGIA","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NEOPLASMS BENIGN, MALIGNANT AND UNSPECIFIED (INCL CYSTS AND POLYPS)","PROSTATE CANCER","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","AMNESIA","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","BURNING SENSATION","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","COGNITIVE DISORDER","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","DIZZINESS","count","quantity",18,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","HEADACHE","count","quantity",9,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","HYPERSOMNIA","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","LETHARGY","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","PARAESTHESIA","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","PAROSMIA","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","PARTIAL SEIZURES WITH SECONDARY GENERALISATION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","SOMNOLENCE","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","SYNCOPE","count","quantity",4,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","SYNCOPE VASOVAGAL","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","NERVOUS SYSTEM DISORDERS","TRANSIENT ISCHAEMIC ATTACK","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","PSYCHIATRIC DISORDERS","AGITATION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","PSYCHIATRIC DISORDERS","CONFUSIONAL STATE","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","PSYCHIATRIC DISORDERS","DELIRIUM","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","PSYCHIATRIC DISORDERS","DELUSION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","PSYCHIATRIC DISORDERS","DEPRESSED MOOD","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","PSYCHIATRIC DISORDERS","HALLUCINATION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","PSYCHIATRIC DISORDERS","HALLUCINATION, VISUAL","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","PSYCHIATRIC DISORDERS","INSOMNIA","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","PSYCHIATRIC DISORDERS","LIBIDO DECREASED","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","PSYCHIATRIC DISORDERS","LISTLESS","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","PSYCHIATRIC DISORDERS","NIGHTMARE","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RENAL AND URINARY DISORDERS","CALCULUS URETHRAL","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RENAL AND URINARY DISORDERS","MICTURITION URGENCY","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RENAL AND URINARY DISORDERS","NEPHROLITHIASIS","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","REPRODUCTIVE SYSTEM AND BREAST DISORDERS","BENIGN PROSTATIC HYPERPLASIA","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","ALLERGIC GRANULOMATOUS ANGIITIS","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","COUGH","count","quantity",7,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","DYSPNOEA","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","EPISTAXIS","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","NASAL CONGESTION","count","quantity",4,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","PHARYNGEAL ERYTHEMA","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","PHARYNGOLARYNGEAL PAIN","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","PRODUCTIVE COUGH","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","RESPIRATORY TRACT CONGESTION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","RESPIRATORY, THORACIC AND MEDIASTINAL DISORDERS","RHINORRHOEA","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","ACTINIC KERATOSIS","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","BLISTER","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","ERYTHEMA","count","quantity",22,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","HYPERHIDROSIS","count","quantity",10,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","PRURITUS","count","quantity",38,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","PRURITUS GENERALISED","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","RASH","count","quantity",18,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","RASH MACULO-PAPULAR","count","quantity",3,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","RASH PAPULAR","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","RASH PRURITIC","count","quantity",3,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","SKIN IRRITATION","count","quantity",8,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","SKIN ODOUR ABNORMAL","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SKIN AND SUBCUTANEOUS TISSUE DISORDERS","URTICARIA","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SOCIAL CIRCUMSTANCES","ALCOHOL USE","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SURGICAL AND MEDICAL PROCEDURES","ACROCHORDON EXCISION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","SURGICAL AND MEDICAL PROCEDURES","SKIN LESION EXCISION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","VASCULAR DISORDERS","HYPERTENSION","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline High Dose","Y","VASCULAR DISORDERS","WOUND HAEMORRHAGE","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CARDIAC DISORDERS","ATRIAL FIBRILLATION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CARDIAC DISORDERS","ATRIAL FLUTTER","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CARDIAC DISORDERS","ATRIOVENTRICULAR BLOCK FIRST DEGREE","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CARDIAC DISORDERS","BUNDLE BRANCH BLOCK RIGHT","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CARDIAC DISORDERS","MYOCARDIAL INFARCTION","count","quantity",4,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CARDIAC DISORDERS","PALPITATIONS","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CARDIAC DISORDERS","SINUS BRADYCARDIA","count","quantity",10,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CARDIAC DISORDERS","SUPRAVENTRICULAR EXTRASYSTOLES","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CARDIAC DISORDERS","SUPRAVENTRICULAR TACHYCARDIA","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CARDIAC DISORDERS","VENTRICULAR EXTRASYSTOLES","count","quantity",4,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CARDIAC DISORDERS","WOLFF-PARKINSON-WHITE SYNDROME","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","CONGENITAL, FAMILIAL AND GENETIC DISORDERS","VENTRICULAR SEPTAL DEFECT","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","EAR AND LABYRINTH DISORDERS","CERUMEN IMPACTION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","EAR AND LABYRINTH DISORDERS","TINNITUS","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","EAR AND LABYRINTH DISORDERS","VERTIGO","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","EYE DISORDERS","CONJUNCTIVAL HAEMORRHAGE","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","EYE DISORDERS","VISION BLURRED","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GASTROINTESTINAL DISORDERS","ABDOMINAL PAIN","count","quantity",3,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GASTROINTESTINAL DISORDERS","DIARRHOEA","count","quantity",7,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GASTROINTESTINAL DISORDERS","DYSPEPSIA","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GASTROINTESTINAL DISORDERS","DYSPHAGIA","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GASTROINTESTINAL DISORDERS","NAUSEA","count","quantity",5,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GASTROINTESTINAL DISORDERS","RECTAL HAEMORRHAGE","count","quantity",2,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GASTROINTESTINAL DISORDERS","VOMITING","count","quantity",4,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE BLEEDING","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE DERMATITIS","count","quantity",15,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE DESQUAMATION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE DISCOLOURATION","count","quantity",1,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE ERYTHEMA","count","quantity",20,"_NULL_","_NULL_"
"Xanomeline Low Dose","Y","GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS","APPLICATION SITE IRRITATION","count","quantity",18,"_NULL_","_NULL_"
